Stage 1,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Stage 7,Stage 8,Stage 9,Stage 10,Stage 11,Stage 12
2048,1024,512,2304,1152,2624,3360,3728,3912,1956,3026,3561
2048,1024,512,2304,1152,2624,3360,3728,3912,4004,2002,1001
2048,1024,512,2304,1152,2624,3360,3728,3912,4004,2002,3049
2048,1024,512,2304,1152,2624,3360,3728,3912,4004,4050,2025
2048,1024,512,2304,1152,2624,3360,3728,3912,4004,4050,4073
2048,1024,512,2304,3200,1600,800,400,200,100,50,25
2048,1024,512,2304,3200,1600,800,400,200,100,50,2073
2048,1024,512,2304,3200,1600,800,400,200,100,2098,1049
2048,1024,512,2304,3200,1600,800,400,200,100,2098,3097
2048,1024,512,2304,3200,1600,800,400,200,2148,1074,537
2048,1024,512,2304,3200,1600,800,400,200,2148,1074,2585
2048,1024,512,2304,3200,1600,800,400,200,2148,3122,1561
2048,1024,512,2304,3200,1600,800,400,200,2148,3122,3609
2048,1024,512,2304,3200,1600,800,400,2248,1124,562,281
2048,1024,512,2304,3200,1600,800,400,2248,1124,562,2329
2048,1024,512,2304,3200,1600,800,400,2248,1124,2610,1305
2048,1024,512,2304,3200,1600,800,400,2248,1124,2610,3353
2048,1024,512,2304,3200,1600,800,400,2248,3172,1586,793
2048,1024,512,2304,3200,1600,800,400,2248,3172,1586,2841
2048,1024,512,2304,3200,1600,800,400,2248,3172,3634,1817
2048,1024,512,2304,3200,1600,800,400,2248,3172,3634,3865
2048,1024,512,2304,3200,1600,800,2448,1224,612,306,153
2048,1024,512,2304,3200,1600,800,2448,1224,612,306,2201
2048,1024,512,2304,3200,1600,800,2448,1224,612,2354,1177
2048,1024,512,2304,3200,1600,800,2448,1224,612,2354,3225
2048,1024,512,2304,3200,1600,800,2448,1224,2660,1330,665
2048,1024,512,2304,3200,1600,800,2448,1224,2660,1330,2713
2048,1024,512,2304,3200,1600,800,2448,1224,2660,3378,1689
2048,1024,512,2304,3200,1600,800,2448,1224,2660,3378,3737
2048,1024,512,2304,3200,1600,800,2448,3272,1636,818,409
2048,1024,512,2304,3200,1600,800,2448,3272,1636,818,2457
2048,1024,512,2304,3200,1600,800,2448,3272,1636,2866,1433
2048,1024,512,2304,3200,1600,800,2448,3272,1636,2866,3481
2048,1024,512,2304,3200,1600,800,2448,3272,3684,1842,921
